Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
editor.window.label.game_setting_editor.leaderboard_data.sub_score_name.placeholder,Enter the sub score name.,,서브 스코어의 이름을 입력하세요.,,
editor.window.label.game_setting_editor.leaderboard_data.sub_score_type,Sub Score Type,,서브 스코어 타입,,
editor.window.label.game_setting_editor.leaderboard_data.score_update_type,Update Type,,업데이트 타입,,
editor.window.label.game_setting_editor.leaderboard_data.score_order_type,Sort Order,,타입 정렬,,
editor.window.label.game_setting_editor.leaderboard_data.delete_data_message,The leaderboard will be deleted. This action cannot be undone.,,리더보드를 삭제합니다. 복구가 불가능 합니다. ,,
editor.window.button.game_setting_editor.leaderboard_data.add_sub_score_data,Add Sub Score Data,,서브 스코어 데이터 추가,,
editor.window.label.game_setting_editor.leaderboard_data.empty_sub_score,No information available.,,정보가 없습니다.,,
editor.window.label.game_setting_editor.leaderboard_data.lift_sign,Lift Sign,,Lift Sign,,
editor.window.label.game_setting_editor.leaderboard_data.renewal_cycle,Renewal Cycle,,갱신 주기,,
editor.window.label.game_setting_editor.leaderboard_data.renewal_time,Renewal Time,,갱신 시간,,
editor.window.label.game_setting_editor.project.title,Project Information,,프로젝트 정보,,
editor.window.label.game_setting_editor.project.description,Manage Project ID,,프로젝트 ID 관리,,
editor.window.label.game_setting_editor.project.project_id,Project ID,,프로젝트 ID,,
editor.window.label.game_setting_editor.project.project_id_value_none,None,,없음,,
editor.window.button.game_setting_editor.project.create,Create,,생성,,
editor.window.button.game_setting_editor.project.delete,Delete,,삭제,,
editor.window.label.game_setting_editor.inmodshop.title,In-Game Products,,인게임 상품,,
editor.window.label.game_setting_editor.inmodshop.description,Create In-Game Products and set up your Shop. Refer to the guide to earn more revenue.,,"인게임 상품을 만들고, 상점을 개발해 보세요. 더 많은 수익을 얻기 위해 가이드를 참고하세요. ",,
editor.window.label.game_setting_editor.inmodshop.product_title,Product List,,상품 목록,,
editor.window.label.game_setting_editor.inmodshop.product_id,Product ID,,상품 아이디,,
editor.window.label.game_setting_editor.inmodshop.product_name,Name,,이름,,
editor.window.label.game_setting_editor.inmodshop.product_price,Price,,가격,,
editor.window.label.game_setting_editor.inmodshop.product_value,Set Active,,활성 여부,,
editor.window.label.game_setting_editor.inmodshop.placeholder,Create your product in the Creator Center.,,창작자 센터에서 당신의 상품을 만들어보세요.,,
editor.window.label.game_setting_editor.inmodshop.active,Active,,활성,,
editor.window.label.game_setting_editor.inmodshop.inactive,Inactive,,비활성,,
editor.window.button.game_setting_editor.inmodshop.create,Create Product,,상품 만들기,,
editor.window.button.game_setting_editor.inmodshop.item,Item,,아이템,,
editor.window.button.game_setting_editor.inmodshop.pass,Pass,,이용권,,
editor.window.label.game_setting_editor.datastore.title,Data Store,,데이터 스토어,,
editor.window.label.game_setting_editor.datastore.description,Data Store Information,,데이터  스토어 정보,,
editor.window.label.game_setting_editor.datastore.usage_storage,Used Storage,,사용된 공간,,
editor.window.label.game_setting_editor.datastore.total_usage,Total Size,,전체 크기,,
editor.window.label.game_setting_editor.datastore.of_data_store,Number of Data Stores,,데이터  스토어 개수,,
editor.window.label.game_setting_editor.datastore.of_key,Number of Keys,,키 개수,,
editor.window.label.game_setting_editor.datastore.dev,Development,,개발중,,
editor.window.label.game_setting_editor.datastore.live,Live,,라이브중,,
editor.window.button.game_setting_editor.datastore.manage,Manage Data Store,,데이터 스토어 관리,,
editor.window.label.input.system_actions,System Actions,,시스템 액션,,
editor.window.label.input.official_actions,Official Actions,,공식 액션,,
editor.window.label.input.additional_actions,Additional Actions,,추가 액션,,
editor.window.label.input.action_name,Action Name,,액션 이름,,
editor.window.label.input.action_type,Action Type,,액션 타입,,
editor.window.button.input.add_actions,Add Action,,액션 추가,,
editor.window.button.input.add_binding,Add Binding,,바인딩 추가,,
editor.window.label.game_setting_editor.use_with_project_id_message.leaderboard,"To use the leaderboard, you must create a Project ID.",,리더보드를 사용하기 위해서는 프로젝트ID 를 발급 받아야 합니다.,,
editor.window.label.game_setting_editor.use_with_project_id_message.inmodshop,"To use the In-Game Products, you must create a Project ID.",,인게임 상품을 사용하기 위해서는 프로젝트ID 를 발급 받아야 합니다.,,
editor.window.label.game_setting_editor.use_with_project_id_message.datastore,"To use the Data Store, you must create a Project ID.",,데이터스토어를 사용하기 위해서는 프로젝트ID 를 발급 받아야 합니다.,,
editor.ribbon.label.prefabmanage,Prefab Management,,프리팹 관리,,
editor.ribbon.button.preview_setting,Preview Settings,,"미리보기
설정",,
editor.window.label.preview_setting,Preview Settings,,미리보기 설정,,
editor.common.prefabSelect,Select Prefab,,선택,,
editor.common.prefabEdit,Edit Prefab,,프리팹 열기,,
editor.common.saveasprefab,Save as Prefab,,프리팹으로저장,,
editor.common.revertall,Revert All Changes,,수정사항  되돌리기,,
editor.common.applyall,Apply All,,모두 적용,,
editor.common.unpacking,Unpack,,언팩,,
editor.common.unpackingcompletely,Unpack Completely,,완전히 언팩,,
editor.common.emptyvulcanusobjectvo,World Object,,월드 오브젝트,,
editor.common.createvulcanusobject,World Object,,"월드
오브젝트",,
editor.common.foldervo,Folder,,폴더,,
editor.common.2dcontainer,2D Container,,2D 컨테이너,,
editor.common.3dcontainer,3D Container,,3D 컨테이너,,
editor.common.clientscriptvo,Client Script,,클라이언트 스크립트,,
editor.common.serverscriptvo,Server Script,,서버 스크립트,,
editor.common.itemvo,Item,,아이템,,
editor.common.maincameravo,Main Camera,,메인 카메라,,
editor.common.buffvo,Buff,,버프,,
editor.common.TargetIndicatorvo,Target Indicator,,타겟 인디케이터,,
editor.common.createvulcanusuiobject,UI Object,,"UI
오브젝트",,
editor.common.vulcanusuiobject,UI Object,,UI 오브젝트,,
editor.common.imagevo,Image,,이미지,,
editor.common.textvo,Text,,텍스트매쉬프로,,
editor.common.buttonvo,Button,,버튼,,
editor.common.popuppanelvo,Popup Panel,,팝업 패널,,
editor.common.togglebuttonvo,Toggle Button,,토글 버튼,,
editor.common.slidervo,Slider,,슬라이더,,
editor.common.createclientscript,Client Script,,클라이언트 스크립트,,
editor.common.createserverscript,Server Script,,서버 스크립트,,
editor.common.createluascript,Lua Script,,루아 스크립트,,
editor.common.topdowncamera,Top-Down Camera,,탑 다운 카메라,,
editor.common.thirdpersoncamera,Third-Person Camera,,3인칭 카메라,,
editor.common.Gamecameravo,Game Camera,,게임 카메라,,
editor.common.Freecameravo,Free Camera,,프리 카메라,,
editor.common.input,Input,,입력,,
editor.uivo.Nameplate,Nameplate,,네임 플레이트,,
editor.uivo.Joystick,Joystick,,조이스틱,,
editor.uivo.targetTacker,Target Tracker,,타겟 트래커,,
editor.common.joystick,Joystick,,조이스틱,,
editor.common.rawimage,Raw Image,,원본 이미지,,
editor.common.scrollbar,Scrollbar,,스크롤 바,,
editor.common.scrollview,Scroll View,,스크롤 뷰,,
editor.common.togglebutton,Toggle Button,,토글 버튼,,
editor.common.dropdown,Dropdown,,드롭 다운,,
editor.common.inputfield,Input Field,,입력 필드,,
editor.common.chat,Chat,,채팅,,
editor.common.text_chat,Text Chat,,텍스트 채팅,,
editor.component.seemore.reset,Reset,,초기화,,
editor.component.seemore.remove_component,Remove Component,,컴포넌트 제거,,
editor.component.seemore.moveup,Move Up,,위로 올리기,,
editor.component.seemore.movedown,Move Down,,아래로 내리기,,
editor.component.seemore.copy_component,Copy Component,,컴포넌트 복사,,
editor.component.seemore.paste_component_as_new,Paste Component as New,,새로운 컴포넌트로 붙여넣기,,
editor.component.seemore.paste_component_values,Paste Component Values,,컴포넌트 값 붙여널기,,
editor.component.seemore.find_reference_in_scene,Find References in Scene,,씬에서 레퍼런스 찾기,,
editor.window.inspector.notice.diff_component,Different Components,,서로 다른 컴포넌트 입니다.,,
editor.window.inspector.notice.multi_edit,This component does not support multi-editing.,,이 컴포넌트는 다중 편집을 지원하지 않습니다.,,
editor.window.about_vulcanus.contents.main,ZAMMYSMITH is a game editor that allows creators to create mod games. Creators can use ZAMMYSMITH to create and publish the mod games they want.,,재미스미스는 모드 게임을 제작할 수 있는 게임 에디터입니다. 창작자는 재미스미스로 자신이 원하는 모드 게임을 만들고 출판하여 서비스할 수 있습니다.,,
editor.window.about_vulcanus.creatorcenter,Creator Center,,창작자 센터,,
editor.window.about_vulcanus.privacypolicy,Privacy Policy,,개인정보처리방침,,
editor.common.menu.assetpreview,Asset Preview,,"애셋
미리보기",,
editor.window.Localize_Text_Window.Button.CSV_Import,Import CSV File,,CSV파일 가져오기,,
editor.window.Localize_Text_Window.Button.CSV_Export,Export as CSV File,,CSV파일로 내보내기,,
editor.window.label.unity-package-import,Importing Unity Package,,유니티 패키지 가져오기,,
editor.commoon.Importing-unity-package,Import Unity Package,,유니티 패키지 가져오기,,
// 이하 툴 팁, ,,,,
tooltip.component.material_property_binder.addProperties,Select Shader Option,,셰이더 옵션을 선택하세요,,
tooltip.editor.common.menu.assetpreview,Open the Asset Preview window.,,애셋 미리보기 창을 엽니다.,,
tooltip.editor.window.label.LocalizationEditor,Open the Localization Text Editor.,,로컬라이즈를 위한 텍스트 에디터를 엽니다.,,
tooltip.editor.common.create_empty_object,Create an empty object.,,빈 오브젝트를 만듭니다.,,
tooltip.editor.ribbon.button.preview_setting,Open the Preview Settings window.,,프리뷰 설정 윈도우를 엽니다.,,
tooltip.editor.common.debug,Select Debug Type,,디버그 방식 설정,,
tooltip.editor.common.PreviewScene,Preview the current scene.,,현재 씬을 미리보기 합니다.,,
tooltip.editor.common.GamePlay,Preview the game before publishing.,,출판할 게임을 미리 확인해보세요.,,
tooltip.editor.common.undo,Undo the previous action.,,이전 작업을 취소합니다.,,
tooltip.editor.common.redo,Redo the last undone action.,,취소한 작업을 다시 실행합니다.,,
tooltip.editor.common.save,Save changes.,,변경사항을 저장합니다.,,
tooltip.editor.common.stage,Open the Stage Settings window.,,스테이지 설정 윈도우를 엽니다.,,
tooltip.editor.common.copy,Copy the selected item.,,선택한 항목을 복사합니다.,,
tooltip.editor.common.paste,Paste the copied item.,,복사한 내용을 붙여넣기 합니다.,,
tooltip.editor.common.cut,Cut the selected item.,,선택한 항목을 잘라냅니다.,,
tooltip.editor.common.rename,Rename the selected item.,,선택한 항목의 이름을 변경합니다.,,
tooltip.editor.common.duplicate,Duplicate the selected item.,,선택한 항목을 복제합니다.,,
tooltip.editor.common.delete,Delete the selected item.,,선택한 항목을 삭제합니다.,,
tooltip.editor.tools.transform.select,Drag to move the screen.,,드래그해 화면을 이동합니다.,,
tooltip.editor.tools.transform.move,Move the object.,,객체를 이동합니다.,,
tooltip.editor.tools.transform.rotate,Rotate the object.,,객체를 회전시킵니다.,,
tooltip.editor.tools.transform.scale,Adjust the object size.,,객체 크기를 조절합니다.,,
tooltip.editor.tools.transform.rect,Use the rectangle selection tool.,,사각형 선택 도구를 사용합니다.,,
tooltip.editor.tools.focus,Focus on the object.,,객체에 포커스합니다.,,
tooltip.editor.tools.snap.snaptofloor,Snap the object to the floor.,,객체를 바닥에 붙입니다.,,
tooltip.editor.tools.snap.meshsnap,Snap the object to the mesh surface.,,객체를 메시 표면에 스냅합니다.,,
tooltip.editor.common.edit,Edit the device.,,장치를 편집합니다.,,
tooltip.editor.common.saveascustom,Save the device as custom.,,장치를 커스텀으로 저장합니다.,,
tooltip.editor.ribbon.label.createnewdevice,Create a new device.,,새 장치를 만듭니다.,,
tooltip.editor.common.menu.veditor.palette,Open the Palette window.,,팔레트 창을 엽니다.,,
tooltip.editor.common.menu.veditor.vscene,Open the Scene window.,,씬 창을 엽니다.,,
tooltip.editor.common.gimmick,Create a gimmick device.,,기믹 장치를 만듭니다.,,
tooltip.editor.common.common,Create a common device.,,일반 장치를 만듭니다.,,
tooltip.editor.common.basicshape,Create a basic shape.,,기본 도형을 만듭니다.,,
tooltip.editor.common.pause,Pause the game.,,게임을 일시정지합니다.,,
tooltip.editor.common.nextstep,Proceed to the next step.,,다음 단계를 진행합니다.,,
tooltip.editor.common.menu.veditor.vinspector,Open the Inspector window.,,인스펙터 창을 엽니다.,,
tooltip.editor.common.menu.veditor.event_chain_editor,Open the Event Chain Editor window.,,이벤트 체인 에디터 윈도우릉 엽니다.,,
tooltip.editor.common.player,Open the Player Settings window.,,플레이어 설정 윈도우를 엽니다.,,
tooltip.editor.common.game,Open the Game Settings window.,,게임 설정 윈도우를 엽니다.,,
tooltip.editor.common.data,Open the Data Settings window.,,데이터 설정 윈도우를 엽니다.,,
tooltip.editor.menu.label.publish,Open the Publish window.,,출판 윈도우를 엽니다.,,
tooltip.editor.common.propobject,Create a prop.,,프랍을 만듭니다.,,
tooltip.editor.common.luascript,Create a Lua script.,,루아 스크립트를 만듭니다.,,
tooltip.editor.common.instruction,Create an instruction.,,인스트럭션을 만듭니다.,,
tooltip.editor.common.trigger,Create a trigger.,,트리거를 만듭니다.,,
tooltip.editor.common.material,Create a material.,,머티리얼을 만듭니다.,,
tooltip.editor.ribbon.label.foldermanage,Manage folders.,,폴더를 관리합니다.,,
tooltip.editor.window.context.palette.create_folder,Create a new folder.,,새 폴더를 만듭니다.,,
tooltip.editor.window.button.palette.addfavorite,Add the item to favorites.,,항목을 즐겨찾기에 추가합니다.,,
tooltip.editor.tools.importpackage,Open the Import Package window.,,패키지 임포트 창을 엽니다.,,
tooltip.editor.tools.exportpackage,Open the Export Package window.,,패키지 익스포트 창을 엽니다.,,
tooltip.editor.tools.snap,Set Object Snap,,　,,
tooltip.editor.common.effect,Create an effect.,,이펙트를 만듭니다.,,
tooltip.editor.common.vobject,Create a VObject.,,V오브젝트를 만듭니다.,,
tooltip.editor.common.playerspawnpoint,Create a player spawn point.,,플레이어 스폰포인트를 만듭니다.,,
tooltip.editor.common.directorcamera,Create a director camera.,,디렉터 카메라를 만듭니다.,,
tooltip.editor.devicevo.pathobject,Create a path object.,,패스 오브젝트를 만듭니다.,,
tooltip.editor.devicevo.vtransform,Create a VTransform.,,V트랜스폼을 만듭니다.,,
tooltip.editor.common.unityobject,Create a Unity object.,,유니티 오브젝트를 만듭니다.,,
tooltip.editor.common.emptyunityobject,Create an empty Unity object.,,빈 유니티 오브젝트를 만듭니다.,,
tooltip.editor.common.variable,Create a variable.,,변수를 만듭니다.,,
tooltip.editor.window.visualscript.button.variablecontainer,Create a variable container.,,변수들을 담는 컨테이너를 만듭니다.,,
tooltip.editor.window.visualscript.button.createenum,Create an enum.,,열거형을 만듭니다.,,
tooltip.editor.window.visualscript.button.createeventmodule,Create an event module.,,이벤트 모듈을 만듭니다.,,
tooltip.editor.window.visualscript.button.createvaluebinder,Create a value binder.,,밸류 바인더를 만듭니다.,,
tooltip.editor.window.visualscript.button.createluamodule,Create a Lua module.,,루아 모듈을 만듭니다.,,
tooltip.editor.common.menu.veditor.selectlayout,Select a layout to load.,,불러올 레이아웃을 선택합니다.,,
tooltip.editor.common.menu.veditor.default,Load the default layout.,,기본 레이아웃을 불러옵니다.,,
tooltip.editor.common.menu.veditor.horizontal,Load the horizontal layout.,,가로형 레이아웃을 불러옵니다.,,
tooltip.editor.common.menu.veditor.vertical,Load the vertical layout.,,세로형 레이아웃을 불러옵니다,,
tooltip.editor.common.menu.editor.layout.2x3,Load the 2X3 layout.,,2X3 레이아웃을 불러옵니다,,
tooltip.editor.common.menu.editor.layout.4Split,Load the 4 Split layout.,,4분할 레이아웃을 불러옵니다,,
tooltip.editor.common.menu.editor.layout.save_layout,Save the current layout.,,현재 레이아웃을 저장합니다.,,
tooltip.editor.common.menu.editor.layout.load_layout,Load a custom layout.,,사용자 레이아웃을 불러옵니다.,,
tooltip.VHierarchy,Open the Hierarchy window.,,하이어라키 윈도우를 엽니다.,,
tooltip.editor.common.menu.veditor.vhierarchy,Open the Scene window.,,씬 윈도우를 엽니다.,,
tooltip.editor.common.menu.visualscriptdebugger,Open the Visual Script Debugger window.,,비주얼스크립트 디버거 윈도우를 엽니다.,,
tooltip.editor.common.menu.languagesetting,Open the Language Settings window.,,언어 설정 윈도우를 엽니다.,,
tooltip.editor.common.animation,Open the Animation window.,,애니메이션 윈도우를 엽니다.,,
tooltip.editor.common.menu.animator,Open the Animator window.,,애니메이터 윈도우를 엽니다.,,
tooltip.editor.common.menu.animationparametor,Open the Animation Parameters window.,,애니메이터 파라미터 윈도우를 엽니다.,,
tooltip.editor.toolbar.quickbind.label.quickbind,Enable Quick Bind mode.,,퀵 바인드 모드를 활성화 합니다.,,
tooltip.editor.common.prefabSelect,Select a prefab.,,프리팹을 선택합니다.,,
tooltip.editor.common.prefabEdit,Edit the prefab.,,프리팹을 편집합니다.,,
tooltip.editor.common.saveasprefab,Save as prefab.,,프리팹으로 저장합니다.,,
tooltip.editor.common.revertall,Revert all overrides.,,수정된 내용을 모두 되돌립니다.,,
tooltip.editor.common.applyall,Apply all overrides.,,수정된 내용을 모두 적용합니다.,,
tooltip.editor.common.unpacking,Unpack the Prefab.,,프리팹을 일반 오브젝트로 되돌립니다.,,
tooltip.editor.common.unpackingcompletely,Unpack all contents of the prefab.,,프리팹의 모든 오브젝트를 일반 오브젝트로 되돌립니다.,,
tooltip.editor.common.emptyvulcanusobjectvo,Create a world object.,,월드 오브젝트를 만듭니다.,,
tooltip.editor.common.createvulcanusobject,Create a world object.,,월드 오브젝트를 만듭니다.,,
tooltip.editor.common.foldervo,Create a folder.,,폴더를 만듭니다.,,
tooltip.editor.common.clientscriptvo,Create a client script.,,클라이언트 스크립트를 만듭니다.,,
tooltip.editor.common.serverscriptvo,Create a server script.,,서버 스크립트를 만듭니다.,,
tooltip.editor.common.itemvo,Create an item.,,아이템를 만듭니다.,,
tooltip.editor.common.maincameravo,Create the main camera.,,메인 카메라를 만듭니다.,,
tooltip.editor.common.buffvo,Create a buff.,,버프를 만듭니다.,,
tooltip.editor.common.TargetIndicatorvo,Create an indicator for player use.,,플레이어가 사용할 전용 인디케이터를 만듭니다.,,
tooltip.editor.common.createvulcanusuiobject,Create a UI object.,,UI 오브젝트를 만듭니다.,,
tooltip.editor.common.vulcanusuiobject,Create a UI object.,,UI 오브젝트를 만듭니다.,,
tooltip.editor.common.imagevo,Create an image.,,이미지를 만듭니다.,,
tooltip.editor.common.textvo,Create text.,,텍스트를 만듭니다.,,
tooltip.editor.common.buttonvo,Create a button.,,버튼를 만듭니다.,,
tooltip.editor.common.popuppanelvo,Create a pop-up panel.,,팝업 패널를 만듭니다.,,
tooltip.editor.common.togglebuttonvo,Create a toggle button.,,토글 버튼를 만듭니다.,,
tooltip.editor.common.slidervo,Create a slider.,,슬라이더를 만듭니다.,,
tooltip.editor.common.createclientscript,Create a client script object.,,클라이언트 스크립트 오브젝트를 만듭니다.,,
tooltip.editor.common.createserverscript,Create a server script object.,,서버 스크립트 오브젝트를 만듭니다.,,
tooltip.editor.common.topdowncamera,Create a top-down camera.,,탑 다운 카메라를 만듭니다.,,
tooltip.editor.common.thirdpersoncamera,Create a third-person camera.,,3인칭 카메라를 만듭니다.,,
tooltip.editor.common.Gamecameravo,Create a camera that follows the player character.,,플레이어 캐릭터를 따라다니는 카메라를 만듭니다.,,
tooltip.editor.common.Freecameravo,A camera that can be used freely without following the character.,,캐릭터를 따라가지 않고 자유롭게 사용할 수 있는 카메라입니다.,,
tooltip.editor.uivo.Nameplate,Create a nameplate.,,네임 플레이트를 만듭니다,,
tooltip.editor.uivo.Joystick,Create a joystick.,,조이스틱을 만급니다.,,
tooltip.editor.uivo.targetTacker,Create a Target Tracker UI.,,플레이어를 따라다니는 UI 를 만듭니다.,,
tooltip.editor.common.joystick,Create a joystick.,,조이스틱을 만듭니다.,,
tooltip.editor.common.rawimage,Create a raw image.,,원본 이미지를 만듭니다.,,
tooltip.editor.common.scrollbar,Create a scroll bar.,,스크롤 바를 만듭니다.,,
tooltip.editor.common.scrollview,Create a scroll view.,,스크롤 뷰를 만듭니다.,,
tooltip.editor.common.togglebutton,Create a toggle button.,,토글 버튼를 만듭니다.,,
tooltip.editor.common.dropdown,Create a dropdown.,,드롭 다운을 만듭니다.,,
tooltip.editor.common.inputfield,Create an input field.,,입력 필드를 만듭니다.,,
tooltip.editor.common.createluascript,Create a Lua script asset.,,루아 스크립트 애셋을 만듭니다.,,
tooltip.editor.common.create-new-scene,Select a template scene to create a new scene.,,템플릿 씬을 선택해 새 씬을 만들어보세요.,,
tooltip.editor.common.create-2d-container,Create a 2D container.,,2D 컨테이너를 만듭니다.,,
tooltip.editor.common.create-3d-container,Create a 3D container.,,3D 컨테이너를 만듭니다.,,
tooltip.addinfo.saveascustom,"Official assets cannot be edited to maintain template compatibility.
If modifications are needed, place them in the scene or use ""Save as Custom.""",,"템플릿 호환성 유지를 위해 공식 애셋은 편집이 불가능합니다.
수정이 필요한 경우 씬에 배치해 사용하거나 
 ‘Save as Custom’을 통해 사용하세요.",,
tooltip.addinfo.addcomponent,"Functions in the editor are provided in units called Components.
Special features provided by the editor can be found under the Vulcanus section.",,"에디터에서 기능은 Component 단위로 제공됩니다. 
에디터에서 제공되는 전용 기능들은 ZAMMYSMITH 항목에서 찾을 수 있습니다. ",,
tooltip.addinfo.service,"Items that are essential for game creation and must function reliably are grouped separately under Service.
Service is automatically created when the first Stage is generated and cannot be added or removed.",,"게임을 만들기 위해 반드시 필요하며 기능이 보장되어야 하는 항목들은 Service에 따로 묶어 제공합니다.
Service는 최초 Stage가 생성할 때 자동 생성되며 추가 또는 삭제가 불가능합니다.",,
tooltip.addinfo.uiedit,"This feature allows you to edit the UI more conveniently.
Click to switch to 2D view. Click again to return to the original view.",,"UI를 보다 편리하게 편집할 수 있도록 제공하는 기능입니다.
클릭 시 화면은 2D 뷰로 전환됩니다. 다시 한번 클릭하면 원래대로 돌아옵니다.",,
tooltip.addinfo.world,This is the area where 3D objects visible in the world (scene) are displayed.,,월드(씬)에서 보여지는 3D 오브젝트들이 표시되는 영역입니다.,,
tooltip.addinfo.official,"Official assets provided by the editor are available here.
These assets cannot be modified. If needed, duplicate them as custom resources using ""Save as Custom.""",,"에디터에서 공식적으로 제공되는 애셋들은 여기를 통해 제공됩니다. 
이 애셋들은 수정할 수 없습니다. 필요한 경우 ""Save as Custom""을 통해 커스팀 리소스로 복제해 사용해야 합니다.",,
tooltip.addinfo.custom,User-created and saved assets are managed here.,,사용자들이 만들어 저장하는 애셋들은 여기를 통해 관리됩니다.,,
tooltip.import-warning.samefile,A file with the same name already exists in the project. Importing this file will overwrite the existing file with a new one that has a different GUID.,,동일한 이름을 가진 파일이 이미 프로젝트에 존재합니다. 이 파일을 Import 하면 기존 파일을 다른 GUID를 가진 새 파일로 덮어씁니다.,,
tooltip.editor.menu.datamanager,Open Data Manager Window,,데이터 매니터 창을 엽니다,,
tooltip-toggle-object-visibility,Toggle Object Visibility,,오브젝트 표시 여부 토글,,
tooltip-toggle-selectability,Toggle Selectability,,오브젝트 선택 가능 여부 토글,,
tooltip-gizmo-visibility,Toggle Gizmo Visibility,,기즈모 표시 여부 토글,,
tooltip.editor.common.script,Script,,스크립트,,
tooltip.editor.menu.label.project_setting,Open Project Settings Window,,프로젝트 설정 창을 엽니다.,,
tooltip.editor.Thridperson.Camera.controller,"Activated it switches to the Third Person Camera view.
(Lua Class : BackViewController)",,"활성화 시 Third Person Camera 시점으로 전환됩니다.
(Lua Class : BackViewController)",,
tooltip.editor.Topdown.Camera.controller,"Activated it switches to the Topdown Camera view.
(Lua Class : TopViewController)",,"활성화 시 Topdown Camera 시점으로 전환됩니다.
(Lua Class : TopViewController)",,
tooltip.editor.Free.Camera.controller,"Activated it switches to the Free Camera view.
(Lua Class : FreeViewController)",,"활성화 시 Free Camera 시점으로 전환됩니다.
(Lua Class : FreeViewController)",,
// 이하 팝업 메시지, ,,,,
popup.notice.resource_protected,This resource is protected and cannot be accessed.,,이 리소스는 보호되어 있어 접근할 수 없습니다.,,
popup.notice.languagechange,The editor will restart after changing the language. Do you want to proceed?,,언어를 변경하면 에디터가 재실행됩니다. 변경 하시겠습니까?,,
popup.notice.languagedatadelete,All data entered in the selected language will be deleted. This action cannot be undone. Do you want to proceed?,,선택한 언어로 입력한 데이터가 모두 삭제됩니다. 이 작업은 되돌릴 수 없습니다. 진행하시겠습니까?,,
popup.importerrorwindow,Import Error,,임포트 에러,,
popup.notice.importerror,Some files were not imported. The files below are in an unsupported format.,,일부 파일이 임포트되지 않았습니다. 아래는 지원하지 않는 형식의 파일입니다.,,
popup.notice.prefab_child_edit,Child objects of a prefab cannot change their parent in the scene. Edit the prefab or unpack it.,,Prefab의 자식 오브젝트는 씬에서 부모 오브젝트를 변경할 수 없습니다. Prefab을 편집하거나 Unpack해야 합니다. ,,
popup.notice.official_edit_prohibition,"Official resources cannot be modified to protect the original. If modifications are needed, use ""Save as Custom.""",,원본 보호를 위해 공식 리소스는 수정할 수 없습니다. 수정이 필요한 경우 Save as Custom 하세요.,,
popup.window.official_edit_prohibition,Official Resource Modification Detected,,공식 리소스 수정 감지,,
popup.notice.parent_child_error_header,Parent-Child Relationship Error,,부모-자식 관계 오류,,
popup.notice.parent_child_error_main,Cannot have the following object as a child.,,는 아래의 대상을 자식으로 가질 수 없습니다.,,
popup.notice.cyclic_nest_prefab_error_header,Cyclic Prefab Nesting Not Supported,,순환 프리팹 네스팅 미지원,,
popup.notice.cyclic_nest_prefab_error_main,Placing it here will result in cyclic Prefab nesting. Cyclic Prefab nesting is not supported.,,여기에 넣으면 순환 프리팹 네스팅이 발생합니다. 순환 프리팹 네스팅은 지원되지 않습니다.,,
popup.notice.delete.asset_error_title,Delete the selected asset?,,선택한 항목을 삭제 하시겠습니까?,,
popup.notice.delete.asset_error_main,This action cannot be undone.,,삭제한 후에는 복구 할 수 없습니다.,,
popup.notice.delete.asset_error_button_delete,Delete,,삭제,,
popup.notice.delete.asset_error_button_cancel,Cancel,,취소,,
popup.notice.addcamera_asset_error_title,Game Camera Installation Error,,게임 카메라 설치 오류,,
popup.notice.addcamera_asset_error_Main,A Game Camera is already installed in the Hierarchy. Only one Game Camera can be installed.,,Hierarchy에 이미 게임 카메라가 설치되어 있습니다. 게임 카메라는 하나만 설치할 수 있습니다.,,
popup.notice.lua_asset_reference_error_title,Lua Script Reference Error,,루아 스크립트 참조 에러,,
popup.notice.lua_asset_reference_error_main,Script assets cannot be referenced directly. Use a scene object instead.,,스크립트 애셋을 직접 연결할 수 없습니다. 씬 오브젝트로 사용해야 합니다.,,
popup.notice.charactername_error_title,Invalid Character Name,,캐릭터 이름 입력 오류,,
popup.notice.charactername_error_main,"The character name cannot contain the following characters
(/ \ : * ? """" < > |)",,"캐릭터 이름에는 다음 문자를 사용할 수 없습니다.
(/ \ : * ? """" < > |)",,
popup.notice.restructure_original_prefab_instance_title,Cannot restructure Prefab instance,,프리팹 인스턴스를 재구조화할 수 없음,,
popup.notice.restructure_original_prefab_instance_body,"Children of a Prefab instance cannot be moved, and components cannot be reordered.
You can open the Prefab in Prefab Mode to restructure the Prefab Asset itself, or unpack the Prefab instance to remove its Prefab connection.",,"프리팹의 인스턴스 자식 상속자를 이동할 수 없으며, 컴포넌트의 순서를 변경할 수 없습니다. 

프리팹 모드에서 프리팹을 열어 에셋을 수정하거나, 프리팹 인스턴스를 언팩해 연결을 해제할 수 있습니다.",,
editor.previewsetting.testcontroltype,Test Control Type,,테스트시 조작 방식 설정,,
editor.previewsetting.inputsimulationmode,Input Simulation Mode,,입력 방식 시뮬레이션,,
editor.previewsetting.pc,PC,,PC,,
editor.previewsetting.mobile,Mobile,,모바일,,
editor.previewsetting.showhotkeyguide,Show Hotkey Guide,,핫키 가이드 표시,,
editor.previewsetting.hidehotkeyguide,Hide Hotkey Guide,,핫키 가이드 숨김,,
editor.previewsetting.disablemousecusorlock,Disable Mouse Cursor Lock,,마우스 커서 잠금 비활성,,
