Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
editor.common.vdata,Data,,데이터,,
editor.common.ok,OK,,확인,,
editor.common.open,Open,,열기,,
editor.common.paste,Paste,,붙여넣기,,
editor.common.pathobject,Path Object,,패스 오브젝트,,
editor.common.player,Player,,플레이어,,
editor.common.playerspawnpoint,Player Spawn Point,,플레이어 스폰 포인트,,
editor.common.propobject,Prop,,프랍,,
editor.common.rename,Rename,,이름 변경,,
editor.common.result,Result,,결과,,
editor.common.datastore,Data Store,,데이터 스토어,,
editor.common.datasheet,Data Sheet,,데이터 시트,,
editor.common.StarCraftingsystem,Star Crafting System,,별 제작 시스템,,
editor.common.viewreadonly,Read Only,,읽기 전용,,
editor.common.round,Round,,라운드,,
editor.common.save,Save,,저장,,
editor.common.saveascustomdevice,Save as Custom Device,,커스텀 장치로 저장,,
editor.common.scene_info,Scene Info,,씬 정보,,
editor.common.select,Select,,선택,,
editor.common.stage,Stage,,스테이지,,
editor.common.selectstage,Select Stage,,스테이지 선택,,
editor.common.transform,Transform,,트랜스폼,,
editor.common.type,Type,,타입,,
editor.common.target,Target,,대상,,
editor.common.value,Value,,값,,
editor.common.material,Material,,머티리얼,,
editor.common.vobject,VObject,,오브젝트,,
editor.common.playerdata,Player Data,,플레이어 데이터,,
editor.commongizmo_info,Gizmo Icon,,기즈모 아이콘,,
editor.devicevo.pathobject,Path Object,,패스 오브젝트,,
editor.devicevo.vtransform,Transform,,V트랜스폼,,
editor.devicevo.label.connect,Connect,,연결,,
editor.devicevo.label.v_event_type,V Event Type,,이벤트 타입,,
editor.devicevo.lable.receive_event,Receive Event,,이벤트 받기,,
editor.devicevo.lable.send_event,Send Event,,이벤트 보내기,,
editor.devicevo.option.event_type.internal_broadcasting,Internal Broadcasting,,내부 브로드캐스팅,,
editor.devicevo.lable.isofficial,Is Official,,공식장치 여부,,
editor.devicevo.lable.paletteicon,Palette Icon,,팔레트 아이콘,,
editor.devicevo.lable.palettinfo,Palette Info,,팔레트 정보,,
editor.toolbar.quickbind.label.quickbind,Quick Bind,,연결 보기,,
editor.toolbar.quickbind.label.all,All,,모두 보기,,
editor.toolbar.quickbind.label.event,Event,,이벤트,,
editor.toolbar.quickbind.label.parentchild,Parent-Child,,계층관계,,
editor.directorcamera.label.arrival_delay,Arrival Delay,,지연시간,,
editor.directorcamera.label.camera_end_type,Camera End Type,,카메라 종료 방식,,
editor.directorcamera.label.camera_sustain_time,Camera Sustain Time,,카메라 유지 시간,,
editor.directorcamera.label.clip_plane,Clip Plane,,클립 평면,,
editor.directorcamera.label.current_position,Current Position,,현재 위치,,
editor.directorcamera.label.far,Far,,원거리,,
editor.directorcamera.label.finish_recover_type,Finish Recovery Type,,복귀 동작 방식,,
editor.directorcamera.label.fov,FOV,,시야각,,
editor.directorcamera.label.look_at_forward_on_path,Look Along Path,,진행 방향 보기,,
editor.directorcamera.label.look_at_target,Look at Target,,바라볼 대상,,
editor.directorcamera.label.near,Near,,근거리,,
editor.directorcamera.label.path_length,Path Length,,경로 길이,,
editor.directorcamera.label.pitch_angle,Camera Pitch Angle,,피치,,
editor.directorcamera.label.preview,Preview,,미리보기,,
editor.directorcamera.label.roll,Roll,,롤,,
editor.directorcamera.label.speed,Speed,,속도,,
editor.directorcamera.label.target,Target,,대상,,
editor.directorcamera.label.waypoints,Waypoints,,웨이포인트,,
editor.directorcamera.label.yaw_angle,Camera Yaw Angle,,요,,
editor.directorcamera.option.camera_end_type.return_to_another_camera,Return to Another Camera,,다른 카메라로 복귀,,
editor.directorcamera.option.camera_end_type.return_to_player,Return to Player,,플레이어로 복귀,,
editor.directorcamera.option.camera_sustain_time.infinity,Infinity,,무한,,
